Country,Capital,Latitude,Longitude
Suriname,Paramaribo,05¡50'N,55¡10'W
Swaziland,Mbabane (Adm.),26¡18'S,31¡06'E
Sweden,Stockholm,59¡20'N,18¡03'E
Switzerland,Bern,46¡57'N,07¡28'E
Syrian Arab Republic,Damascus,33¡30'N,36¡18'E
Tajikistan,Dushanbe,38¡33'N,68¡48'E
Thailand,Bangkok,13¡45'N,100¡35'E
The Former Yugoslav Republic of Macedonia,Skopje,42¡01'N,21¡26'E
Togo,Lome,06¡09'N,01¡20'E
Tonga,Nuku'alofa,21¡10'S,174¡00'W
Tunisia,Tunis,36¡50'N,10¡11'E
Turkey,Ankara,39¡57'N,32¡54'E
Turkmenistan,Ashgabat,38¡00'N,57¡50'E
Tuvalu,Funafuti,08¡31'S,179¡13'E
Uganda,Kampala,00¡20'N,32¡30'E
Ukraine,Kiev (Rus),50¡30'N,30¡28'E
United Arab Emirates,Abu Dhabi,24¡28'N,54¡22'E
United Kingdom of Great Britain and Northern Ireland,London,51¡36'N,00¡05'W
United Republic of Tanzania,Dodoma,06¡08'S,35¡45'E
United States of America,Washington DC,39¡91'N,77¡02'W
United States of Virgin Islands,Charlotte Amalie,18¡21'N,64¡56'W
Uruguay,Montevideo,34¡50'S,56¡11'W
Uzbekistan,Tashkent,41¡20'N,69¡10'E
Vanuatu,Port-Vila,17¡45'S,168¡18'E
Venezuela,Caracas,10¡30'N,66¡55'W
Viet Nam,Hanoi,21¡05'N,105¡55'E
Yugoslavia,Belgrade,44¡50'N,20¡37'E
Zambia,Lusaka,15¡28'S,28¡16'E
Zimbabwe,Harare,17¡43'S,31¡02'E
